,To_AGEN,To_AMMC,To_CHAP,To_COAS,To_COLL,To_FVRH,To_GGMC,To_HBHO,To_HOAG,To_HSOU,To_IRVR,To_KAIA,To_KINB,To_KINW,To_LAMC,To_LPIH,To_MISS,To_OCMM,To_PLAC,To_SCLE,To_SCOA,To_SJOS,To_SJUD,To_SMMC,To_TUSH,To_UCIM,To_WAMC,To_WMCA,To_WMCS,To_ACNC,To_AGBP,To_ALAM,To_ALTA,To_ANHC,To_ATCC,To_BEAC,To_BGSJ,To_BGYL,To_BPNC,To_BVCC,To_CAPO,To_CARE,To_CMCH,To_CMLH,To_CMSA,To_COCT,To_COVI,To_CSNC,To_CVLH,To_CVPL,To_CVSB,To_EDNA,To_ELIZ,To_EVER,To_EXTW,To_FLAG,To_FOCC,To_FPCC,To_FREE,To_GGCH,To_GORD,To_GPCC,To_GREE,To_HELP,To_HVAL,To_HVCC,To_KINO,To_KNOT,To_LAKE,To_LEIS,To_LHAB,To_LPAL,To_MANO,To_MESA,To_NEWO,To_NNRC,To_NSUB,To_ORRH,To_PACI,To_PALM,To_PANA,To_PKVW,To_PREG,To_PSUP,To_PVIS,To_QUAK,To_RGNT,To_ROYL,To_SCRT,To_SEAC,To_SNMR,To_STAN,To_TERR,To_TOWN,To_VICT,To_VIVA,To_WAEC,To_WINA,To_WINF,To_WLNT
KINB,5,22,0,0,0,1,1,0,1,1,0,0,1,0,0,2,1,0,21,0,0,2,22,0,0,4,9,6,1,1,2,8,21,5,5,9,0,12,18,13,0,5,0,0,0,22,1,9,0,9,12,5,14,7,0,1,3,32,0,11,2,17,6,6,3,9,18,8,13,3,4,0,13,0,3,0,6,14,9,0,16,5,2,2,2,0,0,10,1,3,2,1,19,1,3,0,0,4,7,0
KINW,10,6,4,2,0,100,14,39,33,4,1,0,0,16,16,2,4,11,1,3,1,5,1,13,1,4,20,0,2,1,0,11,5,4,12,7,0,1,5,2,1,2,1,0,0,1,0,25,2,1,2,1,0,1,0,5,1,3,0,2,0,3,1,23,75,9,2,11,5,0,0,1,44,0,3,9.7738693467,10,8,0,3,16,0,1,1,0,0,0,1,0,14,0,5,0,4,3,0,1,1,1,1
LAMC,11,32,2,2,5,14,10,11,22,1,4,10,0,9,1723,50,1,31,4,0,3,19,9,6,1,41,29,9,6,2,0,541,0,1,13,1,0,2,13,0,0,1,0,0,0,0,0,1,0,0,587,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,2,0,0,8,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3,1,0
LPIH,31,85,2,2,32,18,10,41,7,1,3,16,6,3,81,846,4,12,4,0,4,24,12,6,1,47,82,77,10,22,2,10,0,13,43,0,1,0,70,1,0,2,0,0,0,2,0,0,0,1,3,2,2,0,0,0,0,30,0,0,0,0,2,0,0,2,0,25,0,6,0,51,0,0,0,0,1,2,1,0,6,2,0,0,0,2,0,6,0,0,1,1,0,0,0,0,1,1,1,0
MISS,4,7,9,6,24,19,7,11,104,5,59,37,1,18,1,8,3927,23,4,123,117,97,9,389,5,97,1,19,34,0,0,0,0,0,0,0,152,1,0,0,47,7,0,0,3,0,117,4,159,4,0,0,0,0,0,1,4,4,16,0,0,1,0,0,2,0,0,3,223,2,0,1,16,0,0,0,6,0,0,95,0,0,0,0,0,0,0,11,0,3,0,0,0,0,1,106,0,0,1,1
OCMM,6,60,11,16,11,178,30,76,144,4,82,184,0,18,22,8,17,2632,5,2,3,37,10,37,2,39,28,11,28,0,0,2,24,18,57,29,2,1,15,1,7,124,0,0,0,0,0,4,8,7,5,16,16,0,2,14,1,28,0,17,0,9,0,12,109,0,0,2,88,2,0,5,280,1,224,0,14,2,5,0,3,0,0,0,0,4,2,34,0,167,0,0,0,0,1,0,3,6,2,7
PLAC,4,79,22,1,7,8,9,1,10,5,2,6,2,2,4,1,4,1,730,0,3,32,171,2,2,25,6,13,43,4,0,0,1,4,16,0,0,93,10,0,0,20,0,0,0,5,0,0,5,0,0,5,56,37,0,0,5,15,0,1,129,0,4,0,0,0,0,5,0,0,23,0,0,0,9,0,0,0,0,0,1,0,30,0,31,0,0,14,5,0,0,0,70,9,0,0,1,1,47,0
SCLE,0,6,5,0,2,5,0,0,10,0,8,3,0,4,0,0,135,0,0,505,41,6,2,115,4,13,0,7,4,0,0,0,0,0,0,0,60,2,0,0,319,3,0,0,0,0,6,0,28,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
SCOA,2,3,12,0,33,4,2,10,72,2,11,2,0,0,1,2,133,12,1,37,858,32,4,101,6,25,2,23,11,0,0,0,0,1,0,0,42,0,1,0,75,3,0,0,0,0,51,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,2,1,3,0,2,0,0,8,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0
SJOS,11,56,65,25,33,56,50,33,92,359,30,33,2,1,9,19,69,39,22,2,49,4270,144,24,11,119,29,72,132,1,0,1,0,1,3,0,3,10,3,0,0,30,0,0,1,6,0,8,12,3,0,35,0,0,0,1,470,60,0,1,6,3,4,0,1,5,105,1,0,5,0,7,9,5,456,30.6247906198,1,7,9,12,0,6,0,2,0,6,4,5,12,2,0,0,0,444,0,23,1,0,1,4
